,s_property_type,s_places,d_currency,c_price_aprox_local_currency,c_surface_total_in_m2,c_surface_covered_in_m2,c_price_per_m2,c_latitud,c_longitud
1,house,Iztapalapa,0,1498321.97,80.0,80.0,18900.0,19.31033,-99.068557
2,apartment,Tlalpan,0,918284.0,100.0,100.0,9266.67,19.279771,-99.234597
4,apartment,MiguelHidalgo,0,4376051.62,87.0,87.0,50758.62069,19.432657,-99.177444
5,apartment,BenitoJuarez,0,3122244.47,100.0,100.0,31500.0,19.367025,-99.170349
6,house,AlvaroObregon,0,2067789.37,205.0,205.0,10178.85854,19.340909,-99.22511
7,house,GustavoAMadero,0,1585525.89,144.0,144.0,11111.11111,19.509359,-99.093272
8,house,MiguelHidalgo,0,4359347.04,304.0,304.0,14467.43421,19.432901,-99.213075
10,apartment,BenitoJuarez,0,3243466.76,83.0,83.0,39425.3012,19.3794059,-99.1591446
11,apartment,BenitoJuarez,0,1248601.52,103.0,103.0,12233.00971,19.36269,-99.150565
12,house,Cuauhtemoc,0,4845723.38,530.0,530.0,9224.150943,19.452952,-99.158166
13,house,AlvaroObregon,0,700222.21,90.0,90.0,7849.411111,19.342911,-99.224472
14,house,GustavoAMadero,0,2209826.65,120.0,120.0,18583.33333,19.491083,-99.07564
16,apartment,Iztacalco,0,1333148.73,56.0,56.0,24017.85714,19.4024128,-99.0953907
17,apartment,BenitoJuarez,0,1283284.95,80.0,80.0,16187.5,19.35782,-99.149406
18,apartment,Azcapotzalco,0,455838.66,60.0,60.0,7666.666667,19.504985,-99.208557
19,apartment,BenitoJuarez,0,4855673.26,120.0,120.0,40833.33333,19.376792,-99.153132
20,house,VenustianoCarranza,0,1684621.29,220.0,220.0,7727.272727,19.433895,-99.091159
21,apartment,Coyoacan,0,1770635.95,50.0,50.0,35736.0,19.354219,-99.126244
22,apartment,Cuauhtemoc,0,656035.96,16.0,16.0,41376.5625,19.439716,-99.152892
23,house,GustavoAMadero,0,700108.79,90.0,90.0,7850.0,19.543273,-99.148777
